State,City,Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),CO (mg/m3),SO2 (ug/m3),O3 (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Xylene (ug/m3),AQI,AQI_Bucket,Wind_Speed (km/h),Humidity (%),Deforestation_Rate_%,Industry_Growth_%,CO2_Emission_MT,Population_Density_per_SqKm
Abia,Aba,2014-01-01,87.33,222.39,50.15,43.72,44.31,15.19,2.65,19.75,63.63,8.24,12.33,4.9,167,Unhealthy,5.3,30.6,0.43,2.29,10.23,402.9
Abia,Aba,2014-02-01,121.44,205.8,24.93,71.86,46.18,30.54,4.31,18.35,46.22,2.89,8.5,5.23,185,Unhealthy,9.0,43.9,0.366,2.96,9.96,401.9
Abia,Aba,2014-03-01,85.33,267.62,26.04,31.17,88.21,16.95,2.19,35.99,76.53,5.69,9.24,4.5,166,Unhealthy,8.5,57.1,0.476,-0.66,9.81,398.0
Abia,Aba,2014-04-01,34.59,93.2,11.9,20.65,43.19,7.34,2.47,10.5,28.42,2.64,10.68,3.12,98,Moderate,11.3,58.8,0.413,1.86,9.95,401.8
Abia,Aba,2014-05-01,54.15,125.32,6.92,42.05,46.8,9.45,0.89,10.01,31.69,1.42,9.37,1.49,147,Unhealthy for Sensitive Groups,4.6,73.4,0.356,2.69,10.15,399.1
Abia,Aba,2014-06-01,47.34,124.93,19.42,25.07,24.49,8.14,1.73,17.47,35.51,1.69,6.34,2.14,130,Unhealthy for Sensitive Groups,5.6,86.2,0.497,0.61,9.89,397.0
Abia,Aba,2014-07-01,35.4,67.33,7.96,32.37,28.07,8.19,1.4,4.73,28.22,1.62,4.04,2.01,100,Moderate,2.7,93.1,0.425,3.43,10.02,400.1
Abia,Aba,2014-08-01,21.85,111.81,5.59,17.82,14.14,9.39,0.74,14.23,41.25,2.61,3.77,0.85,72,Moderate,6.5,91.6,0.412,0.89,10.13,402.7
Abia,Aba,2014-09-01,52.2,92.61,21.85,34.55,35.82,7.22,1.37,10.47,28.48,2.24,3.96,1.4,142,Unhealthy for Sensitive Groups,3.0,82.2,0.392,2.79,10.13,404.0
Abia,Aba,2014-10-01,25.12,54.27,11.55,35.39,36.34,12.04,0.65,12.23,56.91,3.86,4.79,1.21,78,Moderate,8.9,78.0,0.515,1.74,10.11,403.4
Abia,Aba,2014-11-01,66.73,266.28,49.09,81.48,52.78,15.72,3.6,12.37,67.62,4.11,12.27,1.95,157,Unhealthy,11.2,42.1,0.462,3.02,9.9,400.6
Abia,Aba,2014-12-01,58.44,347.29,19.59,59.32,67.63,27.58,6.21,37.14,112.3,3.4,15.91,1.53,153,Unhealthy,7.6,28.9,0.452,2.12,9.86,397.4
Abia,Aba,2015-01-01,94.74,282.7,36.58,94.76,50.29,25.08,3.51,23.79,54.68,5.46,7.66,3.78,171,Unhealthy,6.4,32.2,0.37,2.63,10.18,408.6
Abia,Aba,2015-02-01,86.66,158.5,55.9,64.34,94.76,27.76,3.92,28.34,45.9,8.2,14.11,2.52,167,Unhealthy,9.8,40.9,0.437,4.31,10.63,410.6
Abia,Aba,2015-03-01,99.11,263.0,40.5,55.22,35.4,17.65,3.67,35.75,46.92,1.87,15.73,2.18,174,Unhealthy,10.3,43.4,0.427,3.87,10.49,412.1
Abia,Aba,2015-04-01,51.06,131.43,24.61,40.17,46.8,15.3,1.38,9.52,63.28,4.18,4.86,2.46,139,Unhealthy for Sensitive Groups,7.8,76.9,0.354,2.93,10.23,408.8
Abia,Aba,2015-05-01,71.95,57.53,29.09,27.72,51.0,11.32,0.66,17.41,25.05,3.64,8.89,2.79,159,Unhealthy,4.2,77.4,0.395,1.99,9.97,408.5
Abia,Aba,2015-06-01,35.44,115.82,13.2,32.02,36.96,12.82,0.83,12.05,46.18,0.86,1.79,1.3,101,Unhealthy for Sensitive Groups,2.6,89.5,0.454,3.35,10.58,407.1
Abia,Aba,2015-07-01,54.03,63.63,15.59,36.67,22.84,9.37,1.19,13.07,34.07,0.89,1.77,0.82,147,Unhealthy for Sensitive Groups,3.6,90.0,0.411,1.32,10.14,409.8
